Factor	HR	CI95	P Value	C index
GSDMA	0.932	0.844-1.03	0.167	0.558
GSDMB	0.972	0.874-1.081	0.6	0.533
GSDMC	1.022	0.947-1.103	0.577	0.524
GSDMD	0.881	0.733-1.059	0.177	0.543
PRKACA	0.642	0.441-0.937	0.022	0.568
CASP9	1.28	1.002-1.634	0.048	0.516
ELANE	0.958	0.879-1.045	0.336	0.545
NLRP6	0.988	0.867-1.126	0.857	0.513
NLRP1	0.766	0.677-0.867	0	0.597
NLRP2	0.948	0.899-1	0.049	0.548
IL6	1.002	0.925-1.085	0.958	0.523
NLRC4	0.839	0.735-0.958	0.009	0.587
TNF	0.911	0.826-1.005	0.063	0.572
IL1B	0.969	0.88-1.066	0.512	0.518
IL18	1.06	0.935-1.202	0.365	0.513
AIM2	0.993	0.927-1.064	0.852	0.51
NOD1	0.743	0.626-0.884	0.001	0.594
NOD2	0.884	0.763-1.024	0.099	0.569
CASP6	1.183	0.936-1.495	0.159	0.529
CASP4	1.081	0.892-1.31	0.429	0.512
CASP5	1.004	0.902-1.117	0.942	0.501
CASP3	1.203	0.894-1.617	0.222	0.532
CASP1	0.911	0.795-1.045	0.183	0.558
CASP8	1.049	0.811-1.357	0.715	0.537
TIRAP	1.101	0.889-1.363	0.38	0.55
NLRP7	0.933	0.847-1.027	0.154	0.546
NLRP3	0.893	0.797-1.001	0.051	0.57
PYCARD	1.075	0.932-1.239	0.32	0.494
GPX4	0.851	0.688-1.051	0.134	0.562
PLCG1	0.78	0.633-0.961	0.02	0.552
