ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0004715	non-membrane spanning protein tyrosine kinase activity	2/28	45/18639	0.0444444444444444	29.5857142857143	7.44668026300495	0.00207007762106999	0.142913643365096	0.117648208438203	BTK/MELK	2
GO:0002039	p53 binding	2/28	69/18639	0.0289855072463768	19.2950310559006	5.90534886791248	0.00479757543153279	0.142913643365096	0.117648208438203	BRCA1/GATA1	2
GO:0035401	histone H3Y41 kinase activity	2/28	115/18639	0.0173913043478261	11.5770186335404	4.41304766520462	0.0128471721136265	0.142913643365096	0.117648208438203	BTK/MELK	2
GO:0140801	histone H2AXY142 kinase activity	2/28	115/18639	0.0173913043478261	11.5770186335404	4.41304766520462	0.0128471721136265	0.142913643365096	0.117648208438203	BTK/MELK	2
GO:0016175	superoxide-generating NAD(P)H oxidase activity	1/28	10/18639	0.1	66.5678571428572	8.04433288467014	0.0149246993630837	0.142913643365096	0.117648208438203	DUOX1	1
GO:0141003	histone H2AX kinase activity	3/28	354/18639	0.00847457627118644	5.64134382566586	3.41972910909707	0.0156585888300499	0.142913643365096	0.117648208438203	BTK/MELK/SRPK1	3
GO:0140996	histone H3 kinase activity	3/28	357/18639	0.00840336134453781	5.59393757503001	3.39939131119644	0.0160132831713834	0.142913643365096	0.117648208438203	BTK/MELK/SRPK1	3
GO:0035173	histone kinase activity	3/28	360/18639	0.00833333333333333	5.54732142857143	3.37928252330498	0.0163725283931938	0.142913643365096	0.117648208438203	BTK/MELK/SRPK1	3
GO:1990247	N6-methyladenosine-containing RNA reader activity	1/28	12/18639	0.0833333333333333	55.4732142857143	7.32143115340017	0.0178837545176105	0.142913643365096	0.117648208438203	IGF2BP3	1
GO:0070851	growth factor receptor binding	2/28	139/18639	0.0143884892086331	9.57810894141829	3.93737616709288	0.0183863397948805	0.142913643365096	0.117648208438203	FGF5/IL1A	2
GO:0004713	protein tyrosine kinase activity	2/28	140/18639	0.0142857142857143	9.50969387755102	3.92010449474578	0.0186356479920974	0.142913643365096	0.117648208438203	BTK/MELK	2
GO:0089720	caspase binding	1/28	13/18639	0.0769230769230769	51.206043956044	7.02363110728837	0.0193600660478354	0.142913643365096	0.117648208438203	CTSG	1
GO:0140852	histone ubiquitin ligase activity	1/28	13/18639	0.0769230769230769	51.206043956044	7.02363110728837	0.0193600660478354	0.142913643365096	0.117648208438203	BRCA1	1
GO:0044548	S100 protein binding	1/28	14/18639	0.0714285714285714	47.5484693877551	6.75795190974399	0.0208342375366503	0.142913643365096	0.117648208438203	AGER	1
GO:0070742	C2H2 zinc finger domain binding	1/28	14/18639	0.0714285714285714	47.5484693877551	6.75795190974399	0.0208342375366503	0.142913643365096	0.117648208438203	GATA1	1
GO:0005149	interleukin-1 receptor binding	1/28	16/18639	0.0625	41.6049107142857	6.30242294175642	0.0237761723357984	0.142913643365096	0.117648208438203	IL1A	1
GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	1/28	16/18639	0.0625	41.6049107142857	6.30242294175642	0.0237761723357984	0.142913643365096	0.117648208438203	DUOX1	1
GO:0015278	intracellularly gated calcium channel activity	1/28	17/18639	0.0588235294117647	39.1575630252101	6.10500107232898	0.0252439416089875	0.142913643365096	0.117648208438203	TRPA1	1
GO:0140036	ubiquitin-modified protein reader activity	1/28	19/18639	0.0526315789473684	35.0357142857143	5.75725739455402	0.0281730987797262	0.142913643365096	0.117648208438203	BRCA1	1
GO:0016004	phospholipase activator activity	1/28	20/18639	0.05	33.2839285714286	5.60295345151747	0.0296344926161477	0.142913643365096	0.117648208438203	BTK	1
GO:1901981	phosphatidylinositol phosphate binding	2/28	185/18639	0.0108108108108108	7.1965250965251	3.28535749331292	0.0312779070816372	0.142913643365096	0.117648208438203	ALOX15/BTK	2
GO:0140035	ubiquitin-like protein reader activity	1/28	22/18639	0.0454545454545455	30.2581168831169	5.3259449893572	0.0325509256083822	0.142913643365096	0.117648208438203	BRCA1	1
GO:0140517	protein-RNA adaptor activity	1/28	22/18639	0.0454545454545455	30.2581168831169	5.3259449893572	0.0325509256083822	0.142913643365096	0.117648208438203	IGF2BP3	1
GO:0043274	phospholipase binding	1/28	23/18639	0.0434782608695652	28.9425465838509	5.20092428428794	0.0340059706791763	0.142913643365096	0.117648208438203	BTK	1
GO:0016702	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	1/28	24/18639	0.0416666666666667	27.7366071428571	5.08363323308943	0.0354589054031224	0.142913643365096	0.117648208438203	ALOX15	1
GO:0048027	mRNA 5'-UTR binding	1/28	24/18639	0.0416666666666667	27.7366071428571	5.08363323308943	0.0354589054031224	0.142913643365096	0.117648208438203	IGF2BP3	1
GO:0060229	lipase activator activity	1/28	24/18639	0.0416666666666667	27.7366071428571	5.08363323308943	0.0354589054031224	0.142913643365096	0.117648208438203	BTK	1
GO:0001216	DNA-binding transcription activator activity	3/28	491/18639	0.00610997963340122	4.06728251382019	2.67161549926207	0.0365490172194596	0.142913643365096	0.117648208438203	BRCA1/GATA1/TFAP2A	3
GO:0016701	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen	1/28	25/18639	0.04	26.6271428571429	4.97329423561644	0.0369097327277914	0.142913643365096	0.117648208438203	ALOX15	1
GO:0005044	scavenger receptor activity	1/28	27/18639	0.037037037037037	24.6547619047619	4.77087190315044	0.0398050769497891	0.142913643365096	0.117648208438203	AGER	1
GO:0005104	fibroblast growth factor receptor binding	1/28	27/18639	0.037037037037037	24.6547619047619	4.77087190315044	0.0398050769497891	0.142913643365096	0.117648208438203	FGF5	1
GO:0004181	metallocarboxypeptidase activity	1/28	29/18639	0.0344827586206897	22.9544334975369	4.58925154118546	0.0426920268466459	0.142913643365096	0.117648208438203	CPA3	1
GO:0099604	ligand-gated calcium channel activity	1/28	29/18639	0.0344827586206897	22.9544334975369	4.58925154118546	0.0426920268466459	0.142913643365096	0.117648208438203	TRPA1	1
GO:0005217	intracellularly ligand-gated monoatomic ion channel activity	1/28	30/18639	0.0333333333333333	22.1892857142857	4.50514985198278	0.0441323612501007	0.142913643365096	0.117648208438203	TRPA1	1
GO:0004694	eukaryotic translation initiation factor 2alpha kinase activity	2/28	243/18639	0.00823045267489712	5.47883597883598	2.72584030869536	0.0512425562147543	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140566	histone reader activity	1/28	35/18639	0.0285714285714286	19.019387755102	4.13870719863594	0.0513027446556706	0.142913643365096	0.117648208438203	BRCA1	1
GO:0004676	3-phosphoinositide-dependent protein kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0004711	ribosomal protein S6 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0035175	histone H3S10 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0035979	histone H2AXS139 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0044022	histone H3S28 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0044023	histone H4S1 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0044024	histone H2AS1 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0044025	histone H2BS14 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0072354	histone H3T3 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0072371	histone H2AS121 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0072518	Rho-dependent protein serine/threonine kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140823	histone H2BS36 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140855	histone H3S57 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140995	histone H2A kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140997	histone H4 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140998	histone H2B kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:1990244	histone H2AT120 kinase activity	2/28	245/18639	0.00816326530612245	5.43411078717201	2.70985033693096	0.0519963280661064	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0004677	DNA-dependent protein kinase activity	2/28	246/18639	0.00813008130081301	5.41202090592335	2.70192098631118	0.0523747324071969	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0140857	histone H3T45 kinase activity	2/28	246/18639	0.00813008130081301	5.41202090592335	2.70192098631118	0.0523747324071969	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0035402	histone H3T11 kinase activity	2/28	247/18639	0.00809716599190283	5.39010989010989	2.69403481393081	0.0527541441672322	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0035403	histone H3T6 kinase activity	2/28	247/18639	0.00809716599190283	5.39010989010989	2.69403481393081	0.0527541441672322	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0004679	AMP-activated protein kinase activity	2/28	248/18639	0.00806451612903226	5.36837557603687	2.68619139342829	0.0531345597126638	0.142913643365096	0.117648208438203	MELK/SRPK1	2
GO:0001530	lipopolysaccharide binding	1/28	41/18639	0.024390243902439	16.23606271777	3.78813434920117	0.0598387535528582	0.155580759237431	0.128075928656995	CAMP	1
